,city_name,ref_year,metabolite_name,daily_mean_concentration,nuts_code,gdp
433,Dresden,2015,methamphetamine,150.0,DE142,6980170000.0
434,Santiago,2018,MDMA,14.32,ES114,20883400000.0
435,Graz,2019,amphetamine,26.67,AT221,23593740000.0
436,Santiago,2020,MDMA,29.64,ES114,20140300000.0
437,Amsterdam,2013,methamphetamine,5.24,NL321,10153920000.0
438,Turku,2015,cocaine,0.85,FI1C1,16297670000.0
439,Prague (2),2019,amphetamine,81.29,CZ010,61469810000.0
440,St. Gallen Hofen,2018,cocaine,708.34,CH055,33764220000.0
441,Kajaani,2024,methamphetamine,2.51,FI1D8,2742530000.0
442,Geneva,2016,MDMA,32.3,CH013,46913820000.0
443,Bozen,2022,amphetamine,0.0,ITH10,29801650000.0
444,Geneva,2021,MDMA,14.7,CH013,53745470000.0
445,Chemnitz,2023,MDMA,12.84,DE144,12947060000.0
446,Castellon,2013,MDMA,6.43,ES522,12619800000.0
447,Zagreb,2017,methamphetamine,0.0,HR050,17005490000.0
448,Zagreb,2019,methamphetamine,0.0,HR050,19163550000.0
449,Zagreb,2016,methamphetamine,0.0,HR050,16059520000.0
450,Zagreb,2021,methamphetamine,0.0,HR050,19888470000.0
451,Novo mesto,2023,cannabis,73.9,SI037,4009180000.0
452,Zagreb,2018,methamphetamine,0.0,HR050,18103730000.0
453,Zagreb,2023,methamphetamine,0.0,HR050,26671220000.0
454,Zurich,2020,cannabis,114.68,CH040,141627850000.0
455,Munich G,2019,methamphetamine,8.01,DE212,126673680000.0
456,Zagreb,2022,methamphetamine,0.0,HR050,22314500000.0
457,Umea,2012,amphetamine,0.0,SE331,10394180000.0
458,Helsinki,2019,amphetamine,201.6,FI1B1,95372380000.0
459,Kufstein,2020,cocaine,404.04,AT335,11840750000.0
460,Karlovy Vary,2024,amphetamine,32.85,CZ041,5381520000.0
461,Istanbul (II-VII),2022,methamphetamine,92.12,TR100,261252960000.0
462,Kapfenberg,2019,cannabis,65.7,AT224,8710790000.0
463,Brussels,2019,MDMA,28.65,BE100,87369660000.0
464,Dortmund,2018,amphetamine,138.15,DEA52,24417700000.0
465,Maribor,2021,methamphetamine,0.0,SI032,6612680000.0
466,Maribor,2020,methamphetamine,0.0,SI032,5904840000.0
467,Maribor,2018,methamphetamine,0.0,SI032,5711450000.0
468,Purgstall,2019,cocaine,22.03,AT121,8855510000.0
469,Brussels,2017,MDMA,25.15,BE100,81785970000.0
470,Basel,2014,MDMA,23.36,CH033,35131350000.0
471,Helsinki,2016,methamphetamine,83.4,FI1B1,84582280000.0
472,Luxembourg,2024,ketamine,12.4,LU000,86180280000.0
473,Santiago,2011,methamphetamine,0.0,ES114,18292900000.0
474,Maribor,2024,methamphetamine,0.0,SI032,8635780000.0
475,Zagreb,2011,methamphetamine,0.0,HR050,15649890000.0
476,Copenhagen,2024,ketamine,33.44,DK011,76296400000.0
477,Zagreb,2015,methamphetamine,0.0,HR050,15421160000.0
478,Zagreb,2012,methamphetamine,0.0,HR050,15321180000.0
479,Tartu,2021,cannabis,25.73,EE008,6081490000.0
480,Brussels,2019,cocaine,454.56,BE100,87369660000.0
481,Santiago,2014,methamphetamine,0.0,ES114,18110000000.0
482,Santiago,2015,methamphetamine,0.0,ES114,18864700000.0
483,Santiago,2012,methamphetamine,0.0,ES114,17667200000.0
484,Helsinki,2023,cocaine,250.72,FI1B1,108495510000.0
485,Amsterdam,2022,cocaine,1142.43,NL321,14221820000.0
486,Santiago,2013,methamphetamine,0.0,ES114,17766700000.0
487,Helsinki,2023,amphetamine,184.74,FI1B1,108495510000.0
488,Vilnius,2020,MDMA,31.83,LT011,21386240000.0
489,Vilnius,2022,MDMA,30.58,LT011,29383300000.0
490,Ljubljana,2022,ketamine,6.69,SI041,21835400000.0
491,Basel,2018,amphetamine,37.03,CH033,38622160000.0
492,Copenhagen,2015,MDMA,53.08,DK011,50731080000.0
493,Velenje,2019,cannabis,90.0,SI034,5315070000.0
494,Lappeenranta,2016,MDMA,14.54,FI1C5,4769500000.0
495,Kapfenberg,2021,methamphetamine,1.64,AT224,9005650000.0
496,Prague (2),2020,MDMA,36.18,CZ010,58671750000.0
497,Region Millstättersee,2020,cocaine,75.72,AT212,3573890000.0
498,Berne,2013,methamphetamine,16.01,CH021,64034050000.0
499,Kapfenberg,2020,methamphetamine,1.14,AT224,8513680000.0
500,Milan,2021,cannabis,42.98,ITC4C,198641830000.0
501,Barcelona,2019,cocaine,700.3,ES511,180560200000.0
502,Eindhoven,2022,MDMA,81.01,NL414,53257420000.0
503,Velenje,2020,MDMA,6.14,SI034,5051070000.0
504,Milan,2014,methamphetamine,5.37,ITC4C,163894200000.0
505,Castellon,2020,cocaine,437.9,ES522,14341200000.0
506,Barcelona,2011,MDMA,18.73,ES511,147153500000.0
507,Debrecen,2023,cocaine,24.61,HU321,7923530000.0
508,Klaipeda,2024,cocaine,164.15,LT023,8111490000.0
509,Berne,2017,amphetamine,53.31,CH021,72244360000.0
510,Castellon,2019,MDMA,12.36,ES522,16135200000.0
511,Steyr,2022,amphetamine,31.56,AT314,7535690000.0
512,Helsinki,2014,methamphetamine,3.7,FI1B1,78960550000.0
513,Zagreb,2018,cocaine,234.54,HR050,18103730000.0
514,Helsinki,2014,amphetamine,68.53,FI1B1,78960550000.0
515,Novi Sad,2020,cocaine,125.95,RS123,4849430000.0
516,Eindhoven,2024,ketamine,90.77,NL414,63114070000.0
517,Helsinki,2018,amphetamine,149.39,FI1B1,91452920000.0
518,Castellon,2020,MDMA,3.34,ES522,14341200000.0
519,Turku,2012,cocaine,0.0,FI1C1,15850520000.0
520,Barcelona,2018,cannabis,230.82,ES511,173436300000.0
521,Bozen,2022,cannabis,43.44,ITH10,29801650000.0
522,Velenje,2019,amphetamine,83.94,SI034,5315070000.0
523,Purgstall,2021,cannabis,37.71,AT121,8893600000.0
524,Purgstall,2020,cannabis,38.96,AT121,8407580000.0
525,Purgstall,2023,cannabis,42.96,AT121,10169920000.0
526,Chemnitz,2018,MDMA,12.73,DE144,10154910000.0
527,Turku,2024,amphetamine,167.53,FI1C1,22820390000.0
528,Zagreb,2012,amphetamine,12.13,HR050,15321180000.0
529,Zagreb,2020,MDMA,41.38,HR050,17640650000.0
530,Ljubljana,2019,cannabis,103.53,SI041,18122110000.0
531,Piestany,2022,cocaine,41.33,SK021,11750740000.0
532,Adana,2021,methamphetamine,18.67,TR621,14318890000.0
533,Zurich,2012,MDMA,38.75,CH040,117922740000.0
534,Amsterdam,2014,methamphetamine,2.96,NL321,10127460000.0
535,Kaunas,2018,methamphetamine,56.51,LT022,9394660000.0
536,Novo mesto,2020,MDMA,2.72,SI037,3251470000.0
537,Vilnius,2018,cocaine,49.8,LT011,19138650000.0
538,Graz,2020,cocaine,138.22,AT221,22691980000.0
539,Tallinn,2022,cocaine,201.83,EE001,22098580000.0
540,Kapfenberg,2019,methamphetamine,1.65,AT224,8710790000.0
541,Kapfenberg,2021,cannabis,76.53,AT224,9005650000.0
542,Amsterdam,2024,amphetamine,172.25,NL321,16678580000.0
543,Erfurt,2017,amphetamine,0.0,DEG01,8475630000.0
544,Region Millstättersee,2019,methamphetamine,0.0,AT212,3629030000.0
545,Region Millstättersee,2018,methamphetamine,0.0,AT212,3477000000.0
546,Region Millstättersee,2023,methamphetamine,0.0,AT212,5003770000.0
547,Region Millstättersee,2022,methamphetamine,0.0,AT212,4418320000.0
548,Region Millstättersee,2021,methamphetamine,0.0,AT212,3685400000.0
549,Bozen,2021,amphetamine,5.68,ITH10,26606370000.0
550,Geneva,2015,MDMA,23.93,CH013,47737530000.0
551,Bozen,2019,amphetamine,1.83,ITH10,26112740000.0
552,Berne,2022,amphetamine,62.44,CH021,92058540000.0
553,Erfurt,2019,methamphetamine,251.75,DEG01,9074810000.0
554,Chemnitz,2019,cocaine,13.26,DE144,10430130000.0
555,Novi Sad,2013,cannabis,185.88,RS123,4480180000.0
556,Geneva,2019,MDMA,27.68,CH013,50083790000.0
557,Nicosia (2),2024,methamphetamine,10.82,CY000,34770170000.0
558,Brussels,2024,MDMA,76.97,BE100,108152970000.0
559,Maribor,2022,methamphetamine,0.67,SI032,7208570000.0
560,Purgstall,2019,amphetamine,13.74,AT121,8855510000.0
561,Karlovy Vary,2022,amphetamine,46.64,CZ041,4605180000.0
562,Berne,2018,MDMA,28.05,CH021,71445660000.0
563,Luxembourg,2024,cocaine,499.33,LU000,86180280000.0
564,Stockholm (2),2021,amphetamine,200.8,SE110,169083370000.0
565,Madrid VdlV,2019,cannabis,88.68,ES300,243889400000.0
566,Wasserverband Hofsteig,2018,cocaine,181.88,AT342,14752260000.0
567,Aarhus,2024,methamphetamine,6.72,DK042,51837470000.0
568,Mainz,2017,MDMA,25.98,DEB35,11912270000.0
569,Region Millstättersee,2018,cannabis,39.33,AT212,3477000000.0
570,Kufstein,2021,amphetamine,19.8,AT335,12023230000.0
571,Kapfenberg,2022,MDMA,5.58,AT224,9870930000.0
572,St. Gallen Hofen,2021,MDMA,27.72,CH055,40261870000.0
573,Kranj,2023,methamphetamine,1.26,SI042,5488940000.0
574,Innsbruck,2016,methamphetamine,2.01,AT332,13378950000.0
575,Wasserverband Hofsteig,2020,MDMA,6.52,AT342,13857760000.0
576,Basel,2022,cocaine,837.83,CH033,49305720000.0
577,Ljubljana,2019,amphetamine,20.31,SI041,18122110000.0
578,Bratislava C,2018,cannabis,41.84,SK010,26068860000.0
579,Oulu,2018,amphetamine,69.35,FI1D9,14191400000.0
580,Kranj,2023,amphetamine,0.0,SI042,5488940000.0
581,Berne,2016,MDMA,19.55,CH021,73063030000.0
582,Maribor,2021,cannabis,100.66,SI032,6612680000.0
583,Munich G,2015,cocaine,26.8,DE212,107292380000.0
584,Granada,2023,methamphetamine,0.73,ES614,20836900000.0
585,Geneva,2019,methamphetamine,9.51,CH013,50083790000.0
586,Turku,2022,methamphetamine,21.05,FI1C1,21613520000.0
587,Ninove,2015,MDMA,10.44,BE236,8085030000.0
588,Kapfenberg,2020,MDMA,18.57,AT224,8513680000.0
589,Amsterdam,2011,methamphetamine,0.0,NL321,9928680000.0
590,Kapfenberg,2021,amphetamine,29.46,AT224,9005650000.0
591,Brno,2018,MDMA,22.58,CZ064,22701380000.0
592,Dortmund,2023,MDMA,77.18,DEA52,29577580000.0
593,Brno,2022,MDMA,16.58,CZ064,31345910000.0
594,Paris Seine Centre,2021,methamphetamine,0.0,FR101,240537100000.0
595,Paris Seine Centre,2018,methamphetamine,0.0,FR101,227475800000.0
596,Zurich,2013,cocaine,678.79,CH040,116882860000.0
597,Hannover (2),2017,MDMA,21.98,DE929,51988280000.0
598,Paris Seine Centre,2019,methamphetamine,0.0,FR101,236143100000.0
599,Paris Seine Centre,2016,methamphetamine,0.0,FR101,211814700000.0
600,Amsterdam,2012,amphetamine,27.59,NL321,10016950000.0
601,Paris Seine Centre,2020,methamphetamine,0.0,FR101,218238500000.0
602,Adana,2021,amphetamine,2.64,TR621,14318890000.0
603,Innsbruck,2023,amphetamine,15.6,AT332,17693930000.0
604,Stockholm (2),2024,cocaine,374.23,SE110,179239890000.0
605,Nuremberg,2017,MDMA,13.66,DE254,31495250000.0
606,Prague (2),2021,MDMA,26.6,CZ010,66697280000.0
607,Karlovy Vary,2020,methamphetamine,388.75,CZ041,3658020000.0
608,Geneva,2019,cannabis,217.04,CH013,50083790000.0
609,Copenhagen,2018,amphetamine,59.45,DK011,57489620000.0
610,Paris Seine Centre,2013,methamphetamine,4.0,FR101,202060400000.0
611,Odense,2021,cocaine,295.15,DK031,21572720000.0
612,Paris Seine Centre,2017,methamphetamine,0.0,FR101,218197600000.0
613,St. Gallen Hofen,2020,methamphetamine,9.01,CH055,36767900000.0
614,Paris Seine Centre,2011,methamphetamine,0.0,FR101,195501600000.0
615,Paris Seine Centre,2014,methamphetamine,0.0,FR101,203954200000.0
616,Paris Seine Centre,2015,methamphetamine,0.0,FR101,207604000000.0
617,Paris Seine Centre,2012,methamphetamine,0.0,FR101,199613300000.0
618,Paris Seine Centre,2024,methamphetamine,12.25,FR101,279937500000.0
619,Barcelona,2014,cocaine,461.1,ES511,145147300000.0
620,Region Millstättersee,2021,amphetamine,4.94,AT212,3685400000.0
621,Castellon,2021,MDMA,5.82,ES522,15775600000.0
622,Rovaniemi,2016,methamphetamine,9.69,FI1D7,6431260000.0
623,Umea,2012,methamphetamine,0.94,SE331,10394180000.0
624,Molina de Segura,2015,MDMA,4.22,ES620,29168700000.0
625,Antwerp Zuid,2024,amphetamine,376.09,BE211,67609830000.0
626,Dortmund,2017,cocaine,428.67,DEA52,23082650000.0
627,Vilnius,2023,methamphetamine,4.28,LT011,33822430000.0
628,Stockholm (2),2016,MDMA,37.75,SE110,146144810000.0
629,Maribor,2023,methamphetamine,0.4,SI032,8093590000.0
630,Klosterneuburg,2015,cocaine,83.39,AT126,8688180000.0
631,Piestany,2016,MDMA,10.16,SK021,9111750000.0
632,Paris Seine Centre,2021,MDMA,56.95,FR101,240537100000.0
633,Graz,2020,cannabis,50.69,AT221,22691980000.0
634,Brno,2019,cannabis,41.98,CZ064,24433420000.0
635,Graz,2019,methamphetamine,5.68,AT221,23593740000.0
636,Molina de Segura,2016,cocaine,509.94,ES620,30009100000.0
637,Wasserverband Hofsteig,2019,MDMA,11.91,AT342,14158270000.0
638,Rovaniemi,2018,methamphetamine,5.72,FI1D7,6835180000.0
639,Turku,2024,cocaine,91.21,FI1C1,22820390000.0
640,Lugano,2015,MDMA,7.74,CH052,6425400000.0
641,Plzen,2024,MDMA,23.2,CZ032,15512850000.0
642,Geneva,2015,methamphetamine,6.29,CH013,47737530000.0
643,Berne,2014,amphetamine,18.12,CH021,66183120000.0
644,Kaunas,2021,MDMA,17.65,LT022,11733460000.0
645,Milan,2023,ketamine,22.98,ITC4C,230481350000.0
646,Munich G,2014,cocaine,79.46,DE212,102171890000.0
647,Basel,2021,amphetamine,39.77,CH033,42905650000.0
648,Uppsala,2021,MDMA,9.83,SE121,19015990000.0
649,Ninove,2014,cocaine,114.17,BE236,7727840000.0
650,Velenje,2024,amphetamine,58.28,SI034,7108660000.0
651,Novo mesto,2019,cannabis,71.83,SI037,3335080000.0
652,Dresden,2016,amphetamine,22.63,DE142,7476990000.0
653,Helsinki,2013,MDMA,27.61,FI1B1,78408590000.0
654,Wasserverband Hofsteig,2022,MDMA,6.58,AT342,18380660000.0
655,Castellon,2016,cocaine,364.67,ES522,14223000000.0
656,Zagreb,2012,cocaine,69.8,HR050,15321180000.0
657,Brussels,2015,cocaine,472.36,BE100,78053560000.0
658,Porto,2015,cocaine,92.42,PT11A,28473560000.0
659,Ankara,2023,cocaine,10.61,TR510,107971630000.0
660,Zurich,2015,amphetamine,23.92,CH040,137326790000.0
661,Kajaani,2022,amphetamine,77.91,FI1D8,2987550000.0
662,Piestany,2018,methamphetamine,81.9,SK021,10018620000.0
663,Lleida,2023,MDMA,11.2,ES513,15081500000.0
664,Ostrava,2024,cannabis,61.53,CZ080,27398340000.0
665,Magdeburg,2021,methamphetamine,48.67,DEE03,8987630000.0
666,Magdeburg,2017,cocaine,136.23,DEE03,8193740000.0
667,Ostrava,2020,cocaine,45.4,CZ080,18888130000.0
668,Milan,2023,cocaine,369.18,ITC4C,230481350000.0
669,Uppsala,2019,MDMA,17.24,SE121,16563910000.0
670,Lappeenranta,2018,cocaine,2.57,FI1C5,5071540000.0
671,Prague (2),2022,MDMA,51.44,CZ010,79463730000.0
672,Salzburg,2022,methamphetamine,2.22,AT323,24858630000.0
673,Piestany,2021,MDMA,2.01,SK021,11140240000.0
674,Amsterdam,2012,cocaine,650.49,NL321,10016950000.0
675,Novo mesto,2024,cannabis,36.84,SI037,4274120000.0
676,Novo mesto,2022,amphetamine,5.35,SI037,3706990000.0
677,Istanbul (II-VII),2019,amphetamine,3.46,TR100,206580380000.0
678,Basel,2019,methamphetamine,37.37,CH033,40820360000.0
679,Amsterdam,2014,amphetamine,89.94,NL321,10127460000.0
680,Mariehamn,2024,methamphetamine,2.46,FI200,1632980000.0
681,Piestany,2021,cocaine,11.92,SK021,11140240000.0
682,Antwerp Zuid,2011,amphetamine,277.18,BE211,42658520000.0
683,Zurich,2014,cocaine,598.27,CH040,120952300000.0
684,Zagreb,2016,cocaine,162.32,HR050,16059520000.0
685,Brussels,2018,methamphetamine,7.21,BE100,83415520000.0
686,Adana,2019,amphetamine,0.54,TR621,13183760000.0
687,Bozen,2020,amphetamine,1.99,ITH10,24348130000.0
688,Brussels,2012,cocaine,187.19,BE100,73023930000.0
689,Athens,2018,cannabis,50.85,EL303,30696600000.0
690,Munich G,2016,MDMA,24.09,DE212,112548980000.0
691,Munich G,2019,MDMA,17.09,DE212,126673680000.0
692,Adana,2020,cocaine,4.89,TR621,12649690000.0
693,Maribor,2023,ketamine,0.0,SI032,8093590000.0
694,Ninove,2013,cannabis,39.95,BE236,7557800000.0
695,Maribor,2022,ketamine,0.0,SI032,7208570000.0
696,Wiener Neustadt,2023,MDMA,10.63,AT122,10049810000.0
697,Kajaani,2018,amphetamine,35.63,FI1D8,2356330000.0
698,Velenje,2022,MDMA,9.02,SI034,6211170000.0
699,Turku,2020,amphetamine,110.4,FI1C1,19095720000.0
700,Stockholm (2),2021,cocaine,159.19,SE110,169083370000.0
701,Milan,2013,cannabis,24.91,ITC4C,160142560000.0
702,Basel,2013,methamphetamine,12.94,CH033,33984430000.0
703,Ljubljana,2021,cocaine,364.79,SI041,20407150000.0
704,Basel,2015,amphetamine,39.5,CH033,39609010000.0
705,Ostrava,2022,amphetamine,94.74,CZ080,24777100000.0
706,Split,2024,cocaine,232.99,HR035,7803490000.0
707,Erfurt,2021,cocaine,81.07,DEG01,9578080000.0
708,Zurich,2020,amphetamine,42.09,CH040,141627850000.0
709,Munich G,2016,cocaine,113.79,DE212,112548980000.0
710,Brussels,2012,amphetamine,38.85,BE100,73023930000.0
711,Geneva,2013,amphetamine,0.0,CH013,41553250000.0
712,Santiago,2013,amphetamine,0.0,ES114,17766700000.0
713,Santiago,2021,cocaine,546.97,ES114,21957500000.0
714,Santiago,2012,amphetamine,0.0,ES114,17667200000.0
715,Geneva,2014,amphetamine,0.0,CH013,42311000000.0
716,Santiago,2015,amphetamine,0.0,ES114,18864700000.0
717,Santiago,2014,amphetamine,0.0,ES114,18110000000.0
718,Brussels,2023,methamphetamine,16.45,BE100,103568870000.0
719,Kajaani,2024,amphetamine,159.91,FI1D8,2742530000.0
720,Ostrava,2024,amphetamine,56.62,CZ080,27398340000.0
721,Koper,2022,cannabis,82.0,SI044,3088180000.0
722,Munich G,2022,methamphetamine,14.1,DE212,141773140000.0
723,Santiago,2016,amphetamine,0.0,ES114,19322200000.0
724,Kaunas,2023,ketamine,0.0,LT022,14853640000.0
725,Santiago,2018,amphetamine,0.0,ES114,20883400000.0
726,Piestany,2013,cocaine,3.23,SK021,8393640000.0
727,Santiago,2020,amphetamine,0.0,ES114,20140300000.0
728,Santiago,2023,amphetamine,0.0,ES114,25662500000.0
729,Dresden,2022,amphetamine,39.57,DE142,9526560000.0
730,Barcelona,2021,amphetamine,29.42,ES511,173917400000.0
731,Krakow P,2022,ketamine,1.66,PL213,22985160000.0
732,Kaunas,2024,ketamine,0.0,LT022,15855970000.0
733,Innsbruck,2020,methamphetamine,3.69,AT332,14178300000.0
734,Turku,2013,amphetamine,63.99,FI1C1,15930950000.0
735,Kaunas,2023,amphetamine,67.11,LT022,14853640000.0
736,Munich G,2017,methamphetamine,8.1,DE212,119537610000.0
737,Athens,2016,cocaine,30.41,EL303,29630980000.0
738,Lausanne,2014,cocaine,311.89,CH011,45449990000.0
739,Antwerp Zuid,2015,cocaine,621.12,BE211,47038860000.0
740,Lappeenranta,2022,methamphetamine,15.59,FI1C5,5491900000.0
741,Umea,2013,amphetamine,29.99,SE331,10358380000.0
742,Ostrava,2021,amphetamine,76.77,CZ080,21414230000.0
743,Castellon,2022,cannabis,54.53,ES522,17356000000.0
744,Brussels,2013,cannabis,89.47,BE100,73315820000.0
745,Fort-de-France P,2017,amphetamine,0.0,FRY20,8958800000.0
746,Castellon,2022,MDMA,23.32,ES522,17356000000.0
747,Odense,2021,MDMA,11.38,DK031,21572720000.0
748,Nuremberg,2017,methamphetamine,94.77,DE254,31495250000.0
749,Dortmund,2023,cocaine,547.65,DEA52,29577580000.0
750,Basel,2021,cocaine,708.08,CH033,42905650000.0
751,Innsbruck,2023,MDMA,19.57,AT332,17693930000.0
752,Santiago,2019,methamphetamine,0.0,ES114,21720800000.0
753,Santiago,2016,methamphetamine,0.0,ES114,19322200000.0
754,Santiago,2017,methamphetamine,0.0,ES114,20556300000.0
755,Purgstall,2022,cannabis,30.04,AT121,9675670000.0
756,Adana,2021,cannabis,37.11,TR621,14318890000.0
757,Dortmund,2020,cocaine,305.04,DEA52,24615330000.0
758,Milan,2021,cocaine,385.29,ITC4C,198641830000.0
759,Ostrava,2020,amphetamine,76.6,CZ080,18888130000.0
760,Paris Seine Centre,2015,MDMA,20.6,FR101,207604000000.0
761,Ostrava,2023,cocaine,99.11,CZ080,26954080000.0
762,Bordeaux I,2019,MDMA,36.89,FRI12,58972200000.0
763,Zagreb,2023,cannabis,85.68,HR050,26671220000.0
764,Erfurt,2023,methamphetamine,334.42,DEG01,10859150000.0
765,Maribor,2020,MDMA,8.73,SI032,5904840000.0
766,Brussels,2022,cocaine,984.8,BE100,96651180000.0
767,Brussels,2013,amphetamine,24.8,BE100,73315820000.0
768,Mariehamn,2022,methamphetamine,0.58,FI200,1484720000.0
769,Umea,2013,cocaine,5.07,SE331,10358380000.0
770,Santiago,2023,methamphetamine,0.0,ES114,25662500000.0
771,Santiago,2020,methamphetamine,0.0,ES114,20140300000.0
772,Vilnius,2020,methamphetamine,1.71,LT011,21386240000.0
773,Tartu,2023,amphetamine,102.66,EE008,7092040000.0
774,Santiago,2021,methamphetamine,0.0,ES114,21957500000.0
775,Santiago,2018,methamphetamine,0.0,ES114,20883400000.0
776,Athens,2014,methamphetamine,5.3,EL303,30008060000.0
777,Helsinki,2017,methamphetamine,46.0,FI1B1,88133360000.0
778,Geneva,2022,MDMA,30.56,CH013,63198570000.0
779,Split,2024,cannabis,4.93,HR035,7803490000.0
780,Amsterdam,2020,amphetamine,107.6,NL321,12017310000.0
781,Maribor,2024,ketamine,1.36,SI032,8635780000.0
782,Brussels,2017,methamphetamine,6.8,BE100,81785970000.0
783,Ostrava,2020,cannabis,70.68,CZ080,18888130000.0
784,Lleida,2022,cocaine,759.54,ES513,13789900000.0
785,Ljubljana,2020,methamphetamine,1.12,SI041,18055110000.0
786,Berne,2020,amphetamine,55.78,CH021,76782230000.0
787,Oulu,2016,cocaine,0.0,FI1D9,13467910000.0
788,Oulu,2018,cocaine,2.75,FI1D9,14191400000.0
789,St. Gallen Hofen,2021,methamphetamine,23.2,CH055,40261870000.0
790,Koper,2020,methamphetamine,0.41,SI044,2417460000.0
791,Luxembourg,2024,MDMA,22.21,LU000,86180280000.0
792,Berne,2012,methamphetamine,19.55,CH021,64261150000.0
793,Adana,2022,methamphetamine,46.21,TR621,18223680000.0
794,Basel,2018,MDMA,22.92,CH033,38622160000.0
795,Zurich,2013,methamphetamine,16.71,CH040,116882860000.0
796,Nuremberg,2023,MDMA,25.87,DE254,38630200000.0
797,Karlovy Vary,2022,cocaine,118.14,CZ041,4605180000.0
798,Graz,2019,cannabis,59.61,AT221,23593740000.0
799,Innsbruck,2018,MDMA,26.69,AT332,14362680000.0
800,Antwerp Zuid,2015,amphetamine,250.36,BE211,47038860000.0
801,Amsterdam,2014,cocaine,716.38,NL321,10127460000.0
802,Krakow P,2019,cocaine,46.57,PL213,18198910000.0
803,Kapfenberg,2021,cocaine,109.24,AT224,9005650000.0
804,Zurich,2015,methamphetamine,23.21,CH040,137326790000.0
805,Dortmund,2018,methamphetamine,2.95,DEA52,24417700000.0
806,Prague (2),2019,MDMA,93.78,CZ010,61469810000.0
807,Brno,2017,MDMA,25.38,CZ064,20479020000.0
808,Athens,2017,methamphetamine,3.98,EL303,30257680000.0
809,Krakow P,2022,cocaine,82.14,PL213,22985160000.0
810,Prague (2),2019,methamphetamine,726.87,CZ010,61469810000.0
811,Cluj Napoca,2013,MDMA,0.0,RO114,2273570000.0
812,Koper,2020,cocaine,320.99,SI044,2417460000.0
813,Nuremberg,2023,amphetamine,46.96,DE254,38630200000.0
814,Purgstall,2023,amphetamine,14.31,AT121,10169920000.0
815,Eindhoven,2017,amphetamine,271.73,NL414,38784890000.0
816,Rovaniemi,2024,amphetamine,188.72,FI1D7,8252000000.0
817,Istanbul (II-VII),2022,MDMA,6.49,TR100,261252960000.0
818,Munich G,2018,methamphetamine,5.42,DE212,121236970000.0
819,Maribor,2018,MDMA,6.31,SI032,5711450000.0
820,Innsbruck,2020,MDMA,22.47,AT332,14178300000.0
821,Karlovy Vary,2023,cannabis,109.13,CZ041,5287950000.0
822,Piestany,2017,amphetamine,2.11,SK021,9360680000.0
823,Steyr,2023,methamphetamine,19.66,AT314,8058970000.0
824,Oulu,2018,methamphetamine,2.66,FI1D9,14191400000.0
825,Athens,2018,MDMA,4.7,EL303,30696600000.0
826,Bratislava C,2023,cocaine,194.71,SK010,34184650000.0
827,Geneva,2020,cannabis,188.27,CH013,49623540000.0
828,Prague (2),2021,methamphetamine,328.77,CZ010,66697280000.0
829,Prague (2),2012,amphetamine,32.41,CZ010,42300900000.0
830,Eindhoven,2020,methamphetamine,26.61,NL414,43712290000.0
831,Dresden,2014,amphetamine,22.01,DE142,6801940000.0
832,Basel,2013,cocaine,436.64,CH033,33984430000.0
833,Kaunas,2019,methamphetamine,36.93,LT022,10063050000.0
834,Lappeenranta,2016,methamphetamine,2.79,FI1C5,4769500000.0
835,Brno,2022,cocaine,91.31,CZ064,31345910000.0
836,Barcelona,2013,amphetamine,21.11,ES511,142239600000.0
837,Berne,2022,MDMA,21.0,CH021,92058540000.0
838,Lausanne,2014,methamphetamine,3.81,CH011,45449990000.0
839,Santiago,2013,cannabis,56.72,ES114,17766700000.0
840,Basel,2016,amphetamine,27.4,CH033,39257460000.0
841,Pori,2024,cocaine,21.11,FI196,9763240000.0
842,Geneva,2021,amphetamine,12.25,CH013,53745470000.0
843,Athens,2021,methamphetamine,10.61,EL303,31786040000.0
844,Porto,2023,cocaine,512.53,PT11A,43957080000.0
845,Geneva,2018,amphetamine,10.0,CH013,47633620000.0
846,Helsinki,2019,cocaine,73.81,FI1B1,95372380000.0
847,Lappeenranta,2024,methamphetamine,4.08,FI1C5,5029330000.0
848,Nicosia (2),2024,MDMA,1.62,CY000,34770170000.0
849,Adana,2020,MDMA,30.93,TR621,12649690000.0
850,Oulu,2014,MDMA,40.66,FI1D9,12820640000.0
851,Lappeenranta,2022,cocaine,11.21,FI1C5,5491900000.0
852,Milan,2012,cocaine,241.75,ITC4C,162599770000.0
853,Dresden,2018,MDMA,16.52,DE142,7960890000.0
854,Geneva,2020,amphetamine,0.0,CH013,49623540000.0
855,Berne,2021,amphetamine,58.39,CH021,81126220000.0
856,Salzburg,2023,cocaine,253.83,AT323,25463730000.0
857,Bozen,2019,MDMA,4.84,ITH10,26112740000.0
858,Merchtem,2017,methamphetamine,0.0,BE241,29607360000.0
859,Brno,2023,MDMA,15.51,CZ064,34959370000.0
860,Kokkola,2020,amphetamine,30.65,FI1D5,2593540000.0
861,Pori,2020,MDMA,17.44,FI196,8002590000.0
862,Kokkola,2018,amphetamine,25.15,FI1D5,2585950000.0
863,Oulu,2016,methamphetamine,12.04,FI1D9,13467910000.0
864,Berne,2017,MDMA,33.0,CH021,72244360000.0
865,Paris Seine Centre,2020,MDMA,32.29,FR101,218238500000.0
866,Oostende,2019,cocaine,249.38,BE255,5121360000.0
